nama_kabkota,value,lat,lon
Kab. Timor Tengah Utara,67.487636,-9.35684,124.476
Kab. Belu,64.338758,-9.3837,124.928
Kab. Alor,68.480921,-8.29574,124.74
Kab. Lembata,67.661177,-8.37541,123.566
Kab. Flores Timur,68.177242,-8.346,122.819
Kab. Sikka,67.871871,-8.59524,122.569
Kab. Ende,67.108719,-8.66889,121.695
Kab. Ngada,69.45361,-8.65213,121.153
Kab. Manggarai,67.164441,-8.53765,120.438
Kab. Rote Ndao,66.176339,-10.6796,123.119
Kab. Manggarai Barat,65.328527,-8.60214,120.09
Kab. Sumba Tengah,60.990157,-9.54585,119.186
Kab. Sumba Barat Daya,60.802437,-9.59047,119.681
Kab. Nagekeo,66.310902,-8.68125,121.292
Kab. Manggarai Timur,65.924294,-8.56284,120.711
Kab. Sabu Raijua,55.543263,-10.5219,121.846
Kota Kupang,77.309613,-10.225,123.603
Kab. Sambas,64.932646,1.51623,109.329
Kab. Bengkayang,67.550802,1.03394,109.487
Kab. Landak,67.552734,0.516649,109.697
Kab. Pontianak,68.750314,0.359825,109.165
Kab. Sanggau,68.553183,0.285377,110.577
Kab. Ketapang,67.892245,-1.68179,110.539
Kab. Sintang,68.308527,-0.119481,112.107
Kab. Kapuas Hulu,70.034315,0.830991,112.915
Kab. Sekadau,66.993973,0.055962,110.953
Kab. Melawi,68.674906,-0.725618,111.783
Kab. Kayong Utara,65.38366,-1.07557,110.088
Kab. Kubu Raya,67.555425,-0.402846,109.51
Kota Pontianak,72.955774,-0.089018,109.351
Kota Singkawang,68.859434,0.879057,109.019
Kab. Kotawaringin Barat,73.79157,-2.3877,111.415
Kab. Kotawaringin Timur,74.343481,-2.0018,112.62
Kab. Kapuas,73.595122,-1.86886,114.279
Kab. Barito Selatan,73.597043,-1.92739,114.699
Kab. Barito Utara,75.145958,-0.757642,115.13
Kab. Sukamara,71.980038,-2.53044,111.24
Kab. Lamandau,72.318933,-1.69264,111.237
Kab. Seruyan,72.554986,-2.1676,112.166
Kab. Katingan,72.646223,-1.86207,113.319
Kab. Pulang Pisau,71.525583,-2.77247,113.98
Kab. Gunung Mas,73.43207,-0.895158,113.491
Kab. Barito Timur,73.004443,-1.93246,115.088
Kab. Murung Raya,72.835657,-0.062238,114.204
Kota Palangka Raya,78.299926,-1.77978,113.809
Kab. Tanah Laut,71.158178,-3.84194,114.947
Kota Baru,71.199255,-2.78339,116.064
Kab. Banjar,70.94485,-3.28048,115.056
Kab. Barito Kuala,67.537963,-3.02419,114.609
Kab. Tapin,70.577515,-2.85058,114.994
Kab. Hulu Sungai Selatan,70.833694,-2.70676,115.232
Kab. Hulu Sungai Tengah,70.766196,-2.63117,115.421
Kab. Hulu Sungai Utara,68.891164,-2.42087,115.101
Kab. Tabalong,70.001341,-1.82989,115.448
Kab. Tanah Bumbu,69.74205,-3.32087,115.695
Kab. Balangan,66.738463,-2.29685,115.567
Kota Banjarmasin,73.838765,-3.32828,114.573
Kota Banjar Baru,74.740645,-3.46166,114.786
Kab. Pasir,74.660544,-1.62224,116.229
Kab. Kutai Barat,72.901044,0.189887,115.19
Kab. Kutai Kartanegara,72.892444,0.245719,117.041
Kab. Kutai Timur,72.050618,1.02225,117.53
Kab. Berau,73.844352,1.80806,117.584
Kab. Malinau,72.648392,2.59453,115.698
Kab. Bulungan,75.109294,2.92062,117.022
Kab. Nunukan,73.894269,3.87444,116.679
Kab. Penajam Paser Utara,73.589151,-1.21871,116.612
Kab. Tana Tidung,71.423234,3.4432,117.168
Kota Balikpapan,78.328359,-1.15958,116.887
Kota Samarinda,77.047908,-0.430184,117.174
Kota Tarakan,76.742878,3.33426,117.593
Kota Bontang,76.882413,0.209815,117.348
Kab. Bolaang Mongondow,72.993901,0.709545,124.067
Kab. Minahasa,75.735495,1.299,124.87
Kab. Kepulauan Sangihe,75.58183,3.54841,125.539
Kab. Kepulauan Talaud,75.302588,4.26898,126.79
Kab. Minahasa Selatan,74.676283,1.0733,124.528
Kab. Minahasa Utara,76.08111,1.507,124.998
Kab. Bolaang Mongondow Utara,72.634462,0.686082,123.431
Kab. Siau Tagulandang Biaro,73.301839,2.72134,125.383
Kab. Minahasa Tenggara,72.707684,0.999949,124.733
Kab. Bolaang Mongondow Selatan,70.362783,0.410792,123.879
Kab. Bolaang Mongondow Timur,72.269929,0.673946,124.467
Kota Manado,78.020267,1.50213,124.852
Kota Bitung,75.517637,1.47772,125.134
Kota Tomohon,76.385392,1.31403,124.815
Kota Kotamobagu,75.532308,0.717768,124.246
Kab. Banggai Kepulauan,67.605358,-1.39914,123.169
Kab. Banggai,71.354031,-1.09963,122.619
Kab. Morowali,70.947518,-2.27987,121.645
Kab. Poso,70.28021,-1.6695,120.48
Kab. Donggala,69.784779,0.001503,119.89
Kab. Tolitoli,68.525548,0.968331,120.874
Kab. Buol,69.78574,0.999847,121.558
Kab. Parigi Moutong,68.829302,-0.238456,119.968
Kab. Tojo Unauna,68.831643,-1.2185,121.345
Kab. Sigi,67.609714,-1.45968,119.811
Kota Palu,76.403669,-0.820163,119.9
Kab. Kepulauan Selayar,69.339836,-6.14249,120.479
Kab. Bulukumba,71.187209,-5.46549,120.19
Kab. Bantaeng,70.098986,-5.48126,119.983
Kab. Jeneponto,64.920154,-5.57381,119.699
Kab. Takalar,68.621505,-5.41331,119.494
Kab. Gowa,70.66857,-5.354,119.687
Kab. Sinjai,69.528984,-5.20395,120.131
Kab. Maros,71.115052,-4.97008,119.717
Kab. Pangkajene Dan Kepulauan,69.429645,-4.75434,119.641
Kab. Barru,70.855653,-4.43319,119.698
Kab. Bone,70.174742,-4.68324,120.097
Kab. Soppeng,71.891217,-4.31902,119.9
Kab. Wajo,70.223017,-3.97811,120.16
Kab. Sidenreng Rappang,72.365915,-3.80789,119.994
Kab. Pinrang,73.211399,-3.6456,119.611
Kab. Enrekang,74.554523,-3.53501,119.891
Kab. Luwu,73.975986,-3.34763,120.21
Kab. Tana Toraja,71.835299,-2.99152,119.734
Kab. Luwu Utara,74.320525,-2.41617,120.131
Kab. Luwu Timur,72.792542,-2.48105,120.695
Kab. Toraja Utara,69.564805,-3.0116,119.952
Kota Makassar,78.787086,-5.15306,119.453
Kota Parepare,77.780951,-4.01652,119.665
Kota Palopo,76.548585,-2.99277,120.14
Kab. Buton,68.795761,-5.38816,122.899
Kab. Muna,67.453195,-4.91909,122.538
Kab. Konawe,69.771269,-3.85577,122.067
Kab. Kolaka,70.828202,-3.67976,121.431
Kab. Konawe Selatan,69.418592,-4.2602,122.397
Kab. Bombana,67.200616,-4.62735,121.813
Kab. Wakatobi,67.202923,-5.32294,123.582
Kab. Kolaka Utara,68.929126,-3.25263,121.129
Kab. Buton Utara,68.074062,-4.74096,122.975
Kab. Konawe Utara,68.381051,-3.28607,121.915
Kota Kendari,75.655198,-4.0035,122.553
Kota Baubau,73.475109,-5.4266,122.682
Kab. Boalemo,68.689594,0.692982,122.33
Kab. Gorontalo,70.06984,0.740238,122.558
Kab. Pohuwato,69.77161,0.70044,121.652
Kab. Bone Bolango,71.707865,0.559517,123.303
Kab. Gorontalo Utara,68.808744,0.892006,122.625
Kota Gorontalo,73.082112,0.531953,123.088
Kab. Majene,71.338679,-3.21487,118.87
Kab. Polewali Mandar,67.377477,-3.30966,119.195
Kab. Mamasa,70.818351,-3.10129,119.265
Kab. Mamuju,69.318342,-2.35397,119.332
Kab. Mamuju Utara,69.992505,-1.34188,119.377
Kab. Maluku Tenggara Barat,68.829899,-7.56859,131.413
Kab. Maluku Tenggara,72.452527,-5.63475,133.02
Kab. Maluku Tengah,70.864639,-3.32153,129.356
Kab. Buru,69.356508,-3.34065,126.639
Kab. Kepulauan Aru,70.085205,-6.55316,134.291
Kab. Seram Bagian Barat,69.636404,-3.16,128.29
Kab. Seram Bagian Timur,68.091297,-3.42318,130.347
Kab. Maluku Barat Daya,66.597167,-7.7893,126.313
Kab. Buru Selatan,68.784773,-3.52835,126.615
Kota Ambon,78.561524,-3.67265,128.234
Kota Tual,76.506501,-5.6088,132.783
Kab. Halmahera Barat,66.98906,1.51616,127.624
Kab. Halmahera Tengah,69.131142,0.406088,128.463
Kab. Kepulauan Sula,67.961326,-1.83272,124.834
Kab. Halmahera Selatan,67.98078,-1.54092,127.787
Kab. Halmahera Utara,67.977118,1.5173,127.793
Kab. Halmahera Timur,67.898506,1.02798,128.238
Kab. Pulau Morotai,64.610202,2.31688,128.449
Kota Ternate,76.584795,0.809597,127.339
Kota Tidore Kepulauan,69.621039,0.406088,127.662
Kab. Fakfak,71.457608,-3.31843,132.872
Kab. Kaimana,70.133005,-3.5477,134.443
Kab. Teluk Wondama,65.755747,-2.58788,134.557
Kab. Teluk Bintuni,66.580096,-2.0977,133.322
Kab. Manokwari,67.185385,-1.80035,133.968
Kab. Sorong Selatan,66.310336,-1.66473,132.197
Kab. Sorong,68.502792,-0.946039,131.859
Kab. Raja Ampat,64.581561,-0.229671,131.037
Kab. Tambrauw,50.510681,-0.719501,132.355
Kab. Maybrat,65.995493,-1.43974,132.338
Kota Sorong,77.17925,-0.927203,131.366
Kab. Merauke,65.729166,-7.9868,139.839
Kab. Jayawijaya,56.237574,-3.95492,139.031
Kab. Jayapura,72.247664,-3.0866,140.033
Kab. Nabire,66.814458,-3.46936,135.302
Kab. Yapen Waropen,69.690748,-1.75587,136.161
Kab. Biak Numfor,69.947538,-0.912187,135.872
Kab. Paniai,59.897791,-3.78484,136.459
Kab. Puncak Jaya,68.26943,-3.39141,138.025
Kab. Mimika,69.089592,-4.45002,136.341
Kab. Boven Digoel,50.205518,-6.18709,140.378
Kab. Mappi,50.452048,-6.31382,139.264
Kab. Asmat,51.548444,-5.44092,138.728
Kab. Yahukimo,49.585002,-4.44653,139.463
Kab. Pegunungan Bintang,48.988612,-4.54753,140.526
Kab. Tolikara,51.995232,-3.53772,138.863
Kab. Sarmi,66.835433,-2.58306,139.134
Kab. Keerom,69.256426,-3.24333,140.545
Kab. Waropen,63.265996,-2.68118,136.578
Kab. Supiori,68.459186,-0.75568,135.558
Kab. Mamberamo Raya,59.387899,-2.39784,137.878
Kab. Nduga,48.022359,-4.34969,138.305
Kab. Lanny Jaya,49.902824,-3.85485,138.37
Kab. Mamberamo Tengah,48.95891,-3.61216,139.172
Kab. Yalimo,48.549962,-3.79591,139.555
Kab. Puncak,48.995891,-3.5955,137.472
Kab. Dogiyai,50.02619,-3.72869,135.997
Kab. Intan Jaya,48.415707,-4.07561,136.341
Kab. Deiyai,48.569486,-3.59701,136.599
Kota Jayapura,75.757261,-2.6529,140.772
