nama_kabkota,value,lat,lon
Kab. Asmat,31.104631,-5.44092,138.728
Kab. Yahukimo,32.515756,-4.44653,139.463
Kab. Pegunungan Bintang,32.315858,-4.54753,140.526
Kab. Tolikara,33.19855,-3.53772,138.863
Kab. Sarmi,87.554958,-2.58306,139.134
Kab. Keerom,92.145863,-3.24333,140.545
Kab. Waropen,77.107111,-2.68118,136.578
Kab. Supiori,96.193809,-0.75568,135.558
Kab. Mamberamo Raya,65.04173,-2.39784,137.878
Kab. Nduga,30.530836,-4.34969,138.305
Kab. Lanny Jaya,36.715046,-3.85485,138.37
Kab. Mamberamo Tengah,34.341253,-3.61216,139.172
Kab. Yalimo,33.301897,-3.79591,139.555
Kab. Puncak,32.110837,-3.5955,137.472
Kab. Dogiyai,34.02292,-3.72869,135.997
Kab. Intan Jaya,27.389444,-4.07561,136.341
Kab. Deiyai,28.45,-3.59701,136.599
Kota Jayapura,99.58,-2.6529,140.772
