kode_provinsi,nama_provinsi,tahun,tingkat_pendidikan,persen_angka_partisipasi_murni
21,"Prov. Kepulauan Riau",2007,"SD/MI/Paket/A",93.5
21,"Prov. Kepulauan Riau",2007,"SM/SMK/MA/Paket/C",52.63
21,"Prov. Kepulauan Riau",2007,"SMP/Mts/Paket/B",71.69
21,"Prov. Kepulauan Riau",2008,"SD/MI/Paket/A",93.79
21,"Prov. Kepulauan Riau",2008,"SM/SMK/MA/Paket/C",53.4
21,"Prov. Kepulauan Riau",2008,"SMP/Mts/Paket/B",72.18
21,"Prov. Kepulauan Riau",2009,"SD/MI/Paket/A",93.92
21,"Prov. Kepulauan Riau",2009,"SM/SMK/MA/Paket/C",53.42
21,"Prov. Kepulauan Riau",2009,"SMP/Mts/Paket/B",72.53
21,"Prov. Kepulauan Riau",2010,"SD/MI/Paket/A",94.56
21,"Prov. Kepulauan Riau",2010,"SM/SMK/MA/Paket/C",54.74
21,"Prov. Kepulauan Riau",2010,"SMP/Mts/Paket/B",72.92
21,"Prov. Kepulauan Riau",2011,"SD/MI/Paket/A",92.01
21,"Prov. Kepulauan Riau",2011,"SM/SMK/MA/Paket/C",54.25
21,"Prov. Kepulauan Riau",2011,"SMP/Mts/Paket/B",73.34
21,"Prov. Kepulauan Riau",2012,"SD/MI/Paket/A",94.1
21,"Prov. Kepulauan Riau",2012,"SM/SMK/MA/Paket/C",61.71
21,"Prov. Kepulauan Riau",2012,"SMP/Mts/Paket/B",79.52
31,"Prov. DKI Jakarta",2003,"SD/MI",91.61
31,"Prov. DKI Jakarta",2003,"SM/MA",63.26
31,"Prov. DKI Jakarta",2003,"SMP/Mts",77.58
31,"Prov. DKI Jakarta",2004,"SD/MI",91.87
31,"Prov. DKI Jakarta",2004,"SM/MA",61.25
31,"Prov. DKI Jakarta",2004,"SMP/Mts",76.08
31,"Prov. DKI Jakarta",2005,"SD/MI",92.4
31,"Prov. DKI Jakarta",2005,"SM/MA",58.62
31,"Prov. DKI Jakarta",2005,"SMP/Mts",74.95
31,"Prov. DKI Jakarta",2006,"SD/MI",90.78
31,"Prov. DKI Jakarta",2006,"SM/MA",52.82
31,"Prov. DKI Jakarta",2006,"SMP/Mts",71.41
31,"Prov. DKI Jakarta",2007,"SD/MI/Paket/A",93.27
31,"Prov. DKI Jakarta",2007,"SM/SMK/MA/Paket/C",49.76
31,"Prov. DKI Jakarta",2007,"SMP/Mts/Paket/B",71.36
31,"Prov. DKI Jakarta",2008,"SD/MI/Paket/A",93.81
31,"Prov. DKI Jakarta",2008,"SM/SMK/MA/Paket/C",50.05
31,"Prov. DKI Jakarta",2008,"SMP/Mts/Paket/B",71.5
31,"Prov. DKI Jakarta",2009,"SD/MI/Paket/A",94.07
31,"Prov. DKI Jakarta",2009,"SM/SMK/MA/Paket/C",50.43
31,"Prov. DKI Jakarta",2009,"SMP/Mts/Paket/B",72.02
31,"Prov. DKI Jakarta",2010,"SD/MI/Paket/A",94.59
31,"Prov. DKI Jakarta",2010,"SM/SMK/MA/Paket/C",50.57
31,"Prov. DKI Jakarta",2010,"SMP/Mts/Paket/B",71.96
31,"Prov. DKI Jakarta",2011,"SD/MI/Paket/A",89.79
31,"Prov. DKI Jakarta",2011,"SM/SMK/MA/Paket/C",49.27
31,"Prov. DKI Jakarta",2011,"SMP/Mts/Paket/B",68.85
31,"Prov. DKI Jakarta",2012,"SD/MI/Paket/A",90.14
31,"Prov. DKI Jakarta",2012,"SM/SMK/MA/Paket/C",53.61
31,"Prov. DKI Jakarta",2012,"SMP/Mts/Paket/B",70.4
32,"Prov. Jawa Barat",2003,"SD/MI",92.45
32,"Prov. Jawa Barat",2003,"SM/MA",34.65
32,"Prov. Jawa Barat",2003,"SMP/Mts",61.02
32,"Prov. Jawa Barat",2004,"SD/MI",93.41
32,"Prov. Jawa Barat",2004,"SM/MA",37.18
32,"Prov. Jawa Barat",2004,"SMP/Mts",61.74
32,"Prov. Jawa Barat",2005,"SD/MI",91.86
32,"Prov. Jawa Barat",2005,"SM/MA",36.89
32,"Prov. Jawa Barat",2005,"SMP/Mts",59.99
32,"Prov. Jawa Barat",2006,"SD/MI",94.21
32,"Prov. Jawa Barat",2006,"SM/MA",37.84
32,"Prov. Jawa Barat",2006,"SMP/Mts",62.13
32,"Prov. Jawa Barat",2007,"SD/MI/Paket/A",94.17
32,"Prov. Jawa Barat",2007,"SM/SMK/MA/Paket/C",38.29
32,"Prov. Jawa Barat",2007,"SMP/Mts/Paket/B",67.27
32,"Prov. Jawa Barat",2008,"SD/MI/Paket/A",94.19
32,"Prov. Jawa Barat",2008,"SM/SMK/MA/Paket/C",38.31
32,"Prov. Jawa Barat",2008,"SMP/Mts/Paket/B",68.2
32,"Prov. Jawa Barat",2009,"SD/MI/Paket/A",94.56
32,"Prov. Jawa Barat",2009,"SM/SMK/MA/Paket/C",38.59
32,"Prov. Jawa Barat",2009,"SMP/Mts/Paket/B",67.91
32,"Prov. Jawa Barat",2010,"SD/MI/Paket/A",95.02
32,"Prov. Jawa Barat",2010,"SM/SMK/MA/Paket/C",38.84
32,"Prov. Jawa Barat",2010,"SMP/Mts/Paket/B",68.43
32,"Prov. Jawa Barat",2011,"SD/MI/Paket/A",92.26
32,"Prov. Jawa Barat",2011,"SM/SMK/MA/Paket/C",42.5
32,"Prov. Jawa Barat",2011,"SMP/Mts/Paket/B",69.57
32,"Prov. Jawa Barat",2012,"SD/MI/Paket/A",93.45
32,"Prov. Jawa Barat",2012,"SM/SMK/MA/Paket/C",50.61
32,"Prov. Jawa Barat",2012,"SMP/Mts/Paket/B",73.28
33,"Prov. Jawa Tengah",2003,"SD/MI",93.7
33,"Prov. Jawa Tengah",2003,"SM/MA",38.29
33,"Prov. Jawa Tengah",2003,"SMP/Mts",66.61
33,"Prov. Jawa Tengah",2004,"SD/MI",93.32
33,"Prov. Jawa Tengah",2004,"SM/MA",41.67
33,"Prov. Jawa Tengah",2004,"SMP/Mts",67.82
33,"Prov. Jawa Tengah",2005,"SD/MI",94.47
33,"Prov. Jawa Tengah",2005,"SM/MA",43.3
33,"Prov. Jawa Tengah",2005,"SMP/Mts",69.99
